tanggal_operasi_pmks,jenis_pmks,jumlah_pmks
8/1/2020,Gelandangan,0
8/1/2020,Pemulung,0
8/1/2020,Pengemis,0
8/1/2020,Anak Jalanan,0
8/1/2020,Pekerja Seks Komersil ,0
8/1/2020,Waria,0
8/1/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
8/1/2020,Pengamen,0
8/1/2020,Pengedar Kotak Amal,0
8/1/2020,Anak Terlantar,0
8/1/2020,Lain - Lain,0
8/2/2020,Gelandangan,0
8/2/2020,Pemulung,0
8/2/2020,Pengemis,0
8/2/2020,Anak Jalanan,0
8/2/2020,Pekerja Seks Komersil ,0
8/2/2020,Waria,0
8/2/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
8/2/2020,Pengamen,0
8/2/2020,Pengedar Kotak Amal,0
8/2/2020,Anak Terlantar,0
8/2/2020,Lain - Lain,0
8/3/2020,Gelandangan,1
8/3/2020,Pemulung,1
8/3/2020,Pengemis,0
8/3/2020,Anak Jalanan,0
8/3/2020,Pekerja Seks Komersil ,0
8/3/2020,Waria,0
8/3/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
8/3/2020,Pengamen,0
8/3/2020,Pengedar Kotak Amal,0
8/3/2020,Anak Terlantar,0
8/3/2020,Lain - Lain,0
8/4/2020,Gelandangan,0
8/4/2020,Pemulung,0
8/4/2020,Pengemis,0
8/4/2020,Anak Jalanan,0
8/4/2020,Pekerja Seks Komersil ,0
8/4/2020,Waria,0
8/4/2020,Psykotik /Orang Dengan Masalah Kejiwaan,1
8/4/2020,Pengamen,0
8/4/2020,Pengedar Kotak Amal,0
8/4/2020,Anak Terlantar,0
8/4/2020,Lain - Lain,1
8/5/2020,Gelandangan,0
8/5/2020,Pemulung,0
8/5/2020,Pengemis,1
8/5/2020,Anak Jalanan,0
8/5/2020,Pekerja Seks Komersil ,0
8/5/2020,Waria,0
8/5/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
8/5/2020,Pengamen,0
8/5/2020,Pengedar Kotak Amal,0
8/5/2020,Anak Terlantar,0
8/5/2020,Lain - Lain,0
8/6/2020,Gelandangan,0
8/6/2020,Pemulung,0
8/6/2020,Pengemis,0
8/6/2020,Anak Jalanan,0
8/6/2020,Pekerja Seks Komersil ,0
8/6/2020,Waria,0
8/6/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
8/6/2020,Pengamen,0
8/6/2020,Pengedar Kotak Amal,0
8/6/2020,Anak Terlantar,0
8/6/2020,Lain - Lain,1
8/7/2020,Gelandangan,0
8/7/2020,Pemulung,0
8/7/2020,Pengemis,0
8/7/2020,Anak Jalanan,0
8/7/2020,Pekerja Seks Komersil ,0
8/7/2020,Waria,0
8/7/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
8/7/2020,Pengamen,0
8/7/2020,Pengedar Kotak Amal,0
8/7/2020,Anak Terlantar,0
8/7/2020,Lain - Lain,2
8/8/2020,Gelandangan,0
8/8/2020,Pemulung,0
8/8/2020,Pengemis,0
8/8/2020,Anak Jalanan,0
8/8/2020,Pekerja Seks Komersil ,0
8/8/2020,Waria,0
8/8/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
8/8/2020,Pengamen,0
8/8/2020,Pengedar Kotak Amal,0
8/8/2020,Anak Terlantar,0
8/8/2020,Lain - Lain,0
8/9/2020,Gelandangan,0
8/9/2020,Pemulung,0
8/9/2020,Pengemis,0
8/9/2020,Anak Jalanan,0
8/9/2020,Pekerja Seks Komersil ,0
8/9/2020,Waria,0
8/9/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
8/9/2020,Pengamen,0
8/9/2020,Pengedar Kotak Amal,0
8/9/2020,Anak Terlantar,0
8/9/2020,Lain - Lain,0
8/10/2020,Gelandangan,0
8/10/2020,Pemulung,0
8/10/2020,Pengemis,0
8/10/2020,Anak Jalanan,0
8/10/2020,Pekerja Seks Komersil ,0
8/10/2020,Waria,0
8/10/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
8/10/2020,Pengamen,0
8/10/2020,Pengedar Kotak Amal,0
8/10/2020,Anak Terlantar,0
8/10/2020,Lain - Lain,0
8/11/2020,Gelandangan,0
8/11/2020,Pemulung,0
8/11/2020,Pengemis,0
