tanggal_operasi_pmks,jenis_pmks,jumlah_pmks
4/1/2020,Gelandangan,0
4/1/2020,Pemulung,0
4/1/2020,Pengemis,0
4/1/2020,Anak Jalanan,0
4/1/2020,Pekerja Seks Komersil ,0
4/1/2020,Waria,0
4/1/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
4/1/2020,Pengamen,0
4/1/2020,Pengedar Kotak Amal,0
4/1/2020,Anak Terlantar,0
4/1/2020,Lain - Lain,1
4/2/2020,Gelandangan,0
4/2/2020,Pemulung,0
4/2/2020,Pengemis,0
4/2/2020,Anak Jalanan,0
4/2/2020,Pekerja Seks Komersil ,0
4/2/2020,Waria,0
4/2/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
4/2/2020,Pengamen,0
4/2/2020,Pengedar Kotak Amal,0
4/2/2020,Anak Terlantar,0
4/2/2020,Lain - Lain,0
4/3/2020,Gelandangan,0
4/3/2020,Pemulung,0
4/3/2020,Pengemis,0
4/3/2020,Anak Jalanan,0
4/3/2020,Pekerja Seks Komersil ,0
4/3/2020,Waria,0
4/3/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
4/3/2020,Pengamen,0
4/3/2020,Pengedar Kotak Amal,0
4/3/2020,Anak Terlantar,0
4/3/2020,Lain - Lain,0
4/4/2020,Gelandangan,0
4/4/2020,Pemulung,0
4/4/2020,Pengemis,0
4/4/2020,Anak Jalanan,0
4/4/2020,Pekerja Seks Komersil ,0
4/4/2020,Waria,0
4/4/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
4/4/2020,Pengamen,0
4/4/2020,Pengedar Kotak Amal,0
4/4/2020,Anak Terlantar,0
4/4/2020,Lain - Lain,0
4/5/2020,Gelandangan,0
4/5/2020,Pemulung,0
4/5/2020,Pengemis,0
4/5/2020,Anak Jalanan,0
4/5/2020,Pekerja Seks Komersil ,0
4/5/2020,Waria,0
4/5/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
4/5/2020,Pengamen,0
4/5/2020,Pengedar Kotak Amal,0
4/5/2020,Anak Terlantar,0
4/5/2020,Lain - Lain,0
4/6/2020,Gelandangan,1
4/6/2020,Pemulung,0
4/6/2020,Pengemis,0
4/6/2020,Anak Jalanan,0
4/6/2020,Pekerja Seks Komersil ,0
4/6/2020,Waria,0
4/6/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
4/6/2020,Pengamen,0
4/6/2020,Pengedar Kotak Amal,0
4/6/2020,Anak Terlantar,0
4/6/2020,Lain - Lain,1
4/7/2020,Gelandangan,0
4/7/2020,Pemulung,0
4/7/2020,Pengemis,0
4/7/2020,Anak Jalanan,0
4/7/2020,Pekerja Seks Komersil ,0
4/7/2020,Waria,0
4/7/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
4/7/2020,Pengamen,0
4/7/2020,Pengedar Kotak Amal,0
4/7/2020,Anak Terlantar,0
4/7/2020,Lain - Lain,0
4/8/2020,Gelandangan,0
4/8/2020,Pemulung,0
4/8/2020,Pengemis,0
4/8/2020,Anak Jalanan,0
4/8/2020,Pekerja Seks Komersil ,0
4/8/2020,Waria,0
4/8/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
4/8/2020,Pengamen,0
4/8/2020,Pengedar Kotak Amal,0
4/8/2020,Anak Terlantar,0
4/8/2020,Lain - Lain,0
4/9/2020,Gelandangan,0
4/9/2020,Pemulung,0
4/9/2020,Pengemis,0
4/9/2020,Anak Jalanan,0
4/9/2020,Pekerja Seks Komersil ,0
4/9/2020,Waria,0
4/9/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
4/9/2020,Pengamen,0
4/9/2020,Pengedar Kotak Amal,0
4/9/2020,Anak Terlantar,0
4/9/2020,Lain - Lain,0
4/10/2020,Gelandangan,0
4/10/2020,Pemulung,0
4/10/2020,Pengemis,0
4/10/2020,Anak Jalanan,0
4/10/2020,Pekerja Seks Komersil ,0
4/10/2020,Waria,0
4/10/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
4/10/2020,Pengamen,0
4/10/2020,Pengedar Kotak Amal,0
4/10/2020,Anak Terlantar,0
4/10/2020,Lain - Lain,0
4/11/2020,Gelandangan,0
4/11/2020,Pemulung,0
4/11/2020,Pengemis,0
4/11/2020,Anak Jalanan,0
4/11/2020,Pekerja Seks Komersil ,0
4/11/2020,Waria,0
4/11/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
4/11/2020,Pengamen,0
4/11/2020,Pengedar Kotak Amal,0
4/11/2020,Anak Terlantar,0
4/11/2020,Lain - Lain,0
4/12/2020,Gelandangan,0
4/12/2020,Pemulung,0
4/12/2020,Pengemis,0
4/12/2020,Anak Jalanan,0
4/12/2020,Pekerja Seks Komersil ,0
4/12/2020,Waria,0
4/12/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
4/12/2020,Pengamen,0
4/12/2020,Pengedar Kotak Amal,0
4/12/2020,Anak Terlantar,0
4/12/2020,Lain - Lain,0
4/13/2020,Gelandangan,0
4/13/2020,Pemulung,0
4/13/2020,Pengemis,0
4/13/2020,Anak Jalanan,0
4/13/2020,Pekerja Seks Komersil ,0
4/13/2020,Waria,0
4/13/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
4/13/2020,Pengamen,0
4/13/2020,Pengedar Kotak Amal,0
4/13/2020,Anak Terlantar,0
4/13/2020,Lain - Lain,0
4/14/2020,Gelandangan,0
4/14/2020,Pemulung,0
4/14/2020,Pengemis,0
4/14/2020,Anak Jalanan,0
4/14/2020,Pekerja Seks Komersil ,0
4/14/2020,Waria,0
4/14/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
4/14/2020,Pengamen,0
4/14/2020,Pengedar Kotak Amal,0
4/14/2020,Anak Terlantar,0
4/14/2020,Lain - Lain,0
4/15/2020,Gelandangan,0
4/15/2020,Pemulung,0
4/15/2020,Pengemis,0
4/15/2020,Anak Jalanan,0
4/15/2020,Pekerja Seks Komersil ,0
4/15/2020,Waria,0
4/15/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
4/15/2020,Pengamen,0
4/15/2020,Pengedar Kotak Amal,0
4/15/2020,Anak Terlantar,0
4/15/2020,Lain - Lain,2
4/16/2020,Gelandangan,0
4/16/2020,Pemulung,0
4/16/2020,Pengemis,0
4/16/2020,Anak Jalanan,0
4/16/2020,Pekerja Seks Komersil ,0
4/16/2020,Waria,0
4/16/2020,Psykotik /Orang Dengan Masalah Kejiwaan,1
4/16/2020,Pengamen,0
4/16/2020,Pengedar Kotak Amal,0
4/16/2020,Anak Terlantar,0
4/16/2020,Lain - Lain,0
4/17/2020,Gelandangan,0
4/17/2020,Pemulung,0
4/17/2020,Pengemis,0
4/17/2020,Anak Jalanan,0
4/17/2020,Pekerja Seks Komersil ,0
4/17/2020,Waria,0
4/17/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
4/17/2020,Pengamen,0
4/17/2020,Pengedar Kotak Amal,0
4/17/2020,Anak Terlantar,0
4/17/2020,Lain - Lain,0
4/18/2020,Gelandangan,0
4/18/2020,Pemulung,0
4/18/2020,Pengemis,0
4/18/2020,Anak Jalanan,0
4/18/2020,Pekerja Seks Komersil ,0
4/18/2020,Waria,0
4/18/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
4/18/2020,Pengamen,0
4/18/2020,Pengedar Kotak Amal,0
4/18/2020,Anak Terlantar,0
4/18/2020,Lain - Lain,1
4/19/2020,Gelandangan,0
4/19/2020,Pemulung,0
4/19/2020,Pengemis,0
4/19/2020,Anak Jalanan,0
4/19/2020,Pekerja Seks Komersil ,0
4/19/2020,Waria,0
4/19/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
4/19/2020,Pengamen,0
4/19/2020,Pengedar Kotak Amal,0
4/19/2020,Anak Terlantar,0
4/19/2020,Lain - Lain,0
4/20/2020,Gelandangan,0
4/20/2020,Pemulung,0
4/20/2020,Pengemis,0
4/20/2020,Anak Jalanan,0
4/20/2020,Pekerja Seks Komersil ,0
4/20/2020,Waria,0
4/20/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
4/20/2020,Pengamen,0
4/20/2020,Pengedar Kotak Amal,0
4/20/2020,Anak Terlantar,0
4/20/2020,Lain - Lain,1
4/21/2020,Gelandangan,0
4/21/2020,Pemulung,0
4/21/2020,Pengemis,0
4/21/2020,Anak Jalanan,0
4/21/2020,Pekerja Seks Komersil ,0
4/21/2020,Waria,0
4/21/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
4/21/2020,Pengamen,0
4/21/2020,Pengedar Kotak Amal,0
4/21/2020,Anak Terlantar,0
4/21/2020,Lain - Lain,0
4/22/2020,Gelandangan,0
4/22/2020,Pemulung,0
4/22/2020,Pengemis,0
4/22/2020,Anak Jalanan,0
4/22/2020,Pekerja Seks Komersil ,0
4/22/2020,Waria,0
4/22/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
4/22/2020,Pengamen,0
4/22/2020,Pengedar Kotak Amal,0
4/22/2020,Anak Terlantar,0
4/22/2020,Lain - Lain,0
4/23/2020,Gelandangan,0
4/23/2020,Pemulung,0
4/23/2020,Pengemis,0
4/23/2020,Anak Jalanan,0
4/23/2020,Pekerja Seks Komersil ,0
4/23/2020,Waria,0
4/23/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
4/23/2020,Pengamen,0
4/23/2020,Pengedar Kotak Amal,0
4/23/2020,Anak Terlantar,0
4/23/2020,Lain - Lain,1
4/24/2020,Gelandangan,0
4/24/2020,Pemulung,0
4/24/2020,Pengemis,0
4/24/2020,Anak Jalanan,0
4/24/2020,Pekerja Seks Komersil ,0
4/24/2020,Waria,0
4/24/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
4/24/2020,Pengamen,0
4/24/2020,Pengedar Kotak Amal,0
4/24/2020,Anak Terlantar,0
4/24/2020,Lain - Lain,0
4/25/2020,Gelandangan,0
4/25/2020,Pemulung,0
4/25/2020,Pengemis,0
4/25/2020,Anak Jalanan,0
4/25/2020,Pekerja Seks Komersil ,0
4/25/2020,Waria,0
