tanggal_operasi_pmks,jenis_pmks,jumlah_pmks
2/1/2020,Gelandangan,0
2/1/2020,Pemulung,0
2/1/2020,Pengemis,0
2/1/2020,Anak Jalanan,0
2/1/2020,Pekerja Seks Komersil ,0
2/1/2020,Waria,0
2/1/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
2/1/2020,Pengamen,0
2/1/2020,Pengedar Kotak Amal,0
2/1/2020,Anak Terlantar,0
2/1/2020,Lain - Lain,1
2/2/2020,Gelandangan,1
2/2/2020,Pemulung,0
2/2/2020,Pengemis,0
2/2/2020,Anak Jalanan,0
2/2/2020,Pekerja Seks Komersil ,0
2/2/2020,Waria,0
2/2/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
2/2/2020,Pengamen,0
2/2/2020,Pengedar Kotak Amal,0
2/2/2020,Anak Terlantar,0
2/2/2020,Lain - Lain,0
2/3/2020,Gelandangan,1
2/3/2020,Pemulung,0
2/3/2020,Pengemis,0
2/3/2020,Anak Jalanan,0
2/3/2020,Pekerja Seks Komersil ,0
2/3/2020,Waria,0
2/3/2020,Psykotik /Orang Dengan Masalah Kejiwaan,1
2/3/2020,Pengamen,0
2/3/2020,Pengedar Kotak Amal,0
2/3/2020,Anak Terlantar,0
2/3/2020,Lain - Lain,1
2/4/2020,Gelandangan,0
2/4/2020,Pemulung,0
2/4/2020,Pengemis,0
2/4/2020,Anak Jalanan,0
2/4/2020,Pekerja Seks Komersil ,0
2/4/2020,Waria,0
2/4/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
2/4/2020,Pengamen,0
2/4/2020,Pengedar Kotak Amal,0
2/4/2020,Anak Terlantar,0
2/4/2020,Lain - Lain,1
2/5/2020,Gelandangan,5
2/5/2020,Pemulung,0
2/5/2020,Pengemis,0
2/5/2020,Anak Jalanan,0
2/5/2020,Pekerja Seks Komersil ,0
2/5/2020,Waria,0
2/5/2020,Psykotik /Orang Dengan Masalah Kejiwaan,3
2/5/2020,Pengamen,0
2/5/2020,Pengedar Kotak Amal,0
2/5/2020,Anak Terlantar,0
2/5/2020,Lain - Lain,0
2/6/2020,Gelandangan,0
2/6/2020,Pemulung,0
2/6/2020,Pengemis,0
2/6/2020,Anak Jalanan,0
2/6/2020,Pekerja Seks Komersil ,0
2/6/2020,Waria,0
2/6/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
2/6/2020,Pengamen,0
2/6/2020,Pengedar Kotak Amal,0
2/6/2020,Anak Terlantar,0
2/6/2020,Lain - Lain,3
2/7/2020,Gelandangan,0
2/7/2020,Pemulung,0
2/7/2020,Pengemis,0
2/7/2020,Anak Jalanan,0
2/7/2020,Pekerja Seks Komersil ,0
2/7/2020,Waria,0
2/7/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
2/7/2020,Pengamen,0
2/7/2020,Pengedar Kotak Amal,0
2/7/2020,Anak Terlantar,0
2/7/2020,Lain - Lain,1
2/8/2020,Gelandangan,0
2/8/2020,Pemulung,0
2/8/2020,Pengemis,0
2/8/2020,Anak Jalanan,0
2/8/2020,Pekerja Seks Komersil ,0
2/8/2020,Waria,0
2/8/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
2/8/2020,Pengamen,0
2/8/2020,Pengedar Kotak Amal,0
2/8/2020,Anak Terlantar,0
2/8/2020,Lain - Lain,0
2/9/2020,Gelandangan,0
2/9/2020,Pemulung,0
2/9/2020,Pengemis,0
2/9/2020,Anak Jalanan,0
2/9/2020,Pekerja Seks Komersil ,0
2/9/2020,Waria,0
2/9/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
2/9/2020,Pengamen,0
2/9/2020,Pengedar Kotak Amal,0
2/9/2020,Anak Terlantar,0
2/9/2020,Lain - Lain,0
2/10/2020,Gelandangan,0
2/10/2020,Pemulung,0
2/10/2020,Pengemis,0
2/10/2020,Anak Jalanan,0
2/10/2020,Pekerja Seks Komersil ,0
2/10/2020,Waria,0
2/10/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
2/10/2020,Pengamen,0
