tanggal_operasi_pmks,jenis_pmks,jumlah_pmks
7/1/2020,Gelandangan,0
7/1/2020,Pemulung,0
7/1/2020,Pengemis,0
7/1/2020,Anak Jalanan,0
7/1/2020,Pekerja Seks Komersil ,0
7/1/2020,Waria,0
7/1/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
7/1/2020,Pengamen,0
7/1/2020,Pengedar Kotak Amal,0
7/1/2020,Anak Terlantar,0
7/1/2020,Lain - Lain,2
7/2/2020,Gelandangan,0
7/2/2020,Pemulung,0
7/2/2020,Pengemis,0
7/2/2020,Anak Jalanan,0
7/2/2020,Pekerja Seks Komersil ,0
7/2/2020,Waria,0
7/2/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
7/2/2020,Pengamen,0
7/2/2020,Pengedar Kotak Amal,0
7/2/2020,Anak Terlantar,0
7/2/2020,Lain - Lain,1
7/3/2020,Gelandangan,0
7/3/2020,Pemulung,0
7/3/2020,Pengemis,0
7/3/2020,Anak Jalanan,0
7/3/2020,Pekerja Seks Komersil ,0
7/3/2020,Waria,0
7/3/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
7/3/2020,Pengamen,0
7/3/2020,Pengedar Kotak Amal,0
7/3/2020,Anak Terlantar,0
7/3/2020,Lain - Lain,0
7/4/2020,Gelandangan,0
7/4/2020,Pemulung,0
7/4/2020,Pengemis,0
7/4/2020,Anak Jalanan,0
7/4/2020,Pekerja Seks Komersil ,0
7/4/2020,Waria,0
7/4/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
7/4/2020,Pengamen,0
7/4/2020,Pengedar Kotak Amal,0
7/4/2020,Anak Terlantar,0
7/4/2020,Lain - Lain,0
7/5/2020,Gelandangan,0
7/5/2020,Pemulung,0
7/5/2020,Pengemis,0
7/5/2020,Anak Jalanan,0
7/5/2020,Pekerja Seks Komersil ,0
7/5/2020,Waria,0
7/5/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
7/5/2020,Pengamen,0
7/5/2020,Pengedar Kotak Amal,0
7/5/2020,Anak Terlantar,0
7/5/2020,Lain - Lain,0
7/6/2020,Gelandangan,0
7/6/2020,Pemulung,0
7/6/2020,Pengemis,0
7/6/2020,Anak Jalanan,0
7/6/2020,Pekerja Seks Komersil ,0
7/6/2020,Waria,0
7/6/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
7/6/2020,Pengamen,0
7/6/2020,Pengedar Kotak Amal,0
7/6/2020,Anak Terlantar,0
7/6/2020,Lain - Lain,0
7/7/2020,Gelandangan,0
7/7/2020,Pemulung,0
7/7/2020,Pengemis,0
7/7/2020,Anak Jalanan,0
7/7/2020,Pekerja Seks Komersil ,0
7/7/2020,Waria,0
7/7/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
7/7/2020,Pengamen,0
