tanggal_operasi_pmks,jenis_pmks,jumlah_pmks
6/1/2020,Gelandangan,0
6/1/2020,Pemulung,4
6/1/2020,Pengemis,0
6/1/2020,Anak Jalanan,0
6/1/2020,Pekerja Seks Komersil ,0
6/1/2020,Waria,0
6/1/2020,Psykotik /Orang Dengan Masalah Kejiwaan,1
6/1/2020,Pengamen,0
6/1/2020,Pengedar Kotak Amal,0
6/1/2020,Anak Terlantar,0
6/1/2020,Lain - Lain,1
6/2/2020,Gelandangan,0
6/2/2020,Pemulung,0
6/2/2020,Pengemis,0
6/2/2020,Anak Jalanan,0
6/2/2020,Pekerja Seks Komersil ,0
6/2/2020,Waria,0
6/2/2020,Psykotik /Orang Dengan Masalah Kejiwaan,1
6/2/2020,Pengamen,2
6/2/2020,Pengedar Kotak Amal,0
6/2/2020,Anak Terlantar,1
6/2/2020,Lain - Lain,2
6/3/2020,Gelandangan,2
6/3/2020,Pemulung,10
6/3/2020,Pengemis,0
6/3/2020,Anak Jalanan,0
6/3/2020,Pekerja Seks Komersil ,0
6/3/2020,Waria,0
6/3/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
6/3/2020,Pengamen,0
6/3/2020,Pengedar Kotak Amal,0
6/3/2020,Anak Terlantar,0
6/3/2020,Lain - Lain,6
6/4/2020,Gelandangan,5
6/4/2020,Pemulung,0
6/4/2020,Pengemis,0
6/4/2020,Anak Jalanan,0
6/4/2020,Pekerja Seks Komersil ,0
6/4/2020,Waria,0
6/4/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
6/4/2020,Pengamen,0
6/4/2020,Pengedar Kotak Amal,0
6/4/2020,Anak Terlantar,0
6/4/2020,Lain - Lain,3
6/5/2020,Gelandangan,0
6/5/2020,Pemulung,0
6/5/2020,Pengemis,0
6/5/2020,Anak Jalanan,0
6/5/2020,Pekerja Seks Komersil ,0
6/5/2020,Waria,0
6/5/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
6/5/2020,Pengamen,0
6/5/2020,Pengedar Kotak Amal,0
6/5/2020,Anak Terlantar,0
6/5/2020,Lain - Lain,4
6/6/2020,Gelandangan,0
6/6/2020,Pemulung,0
6/6/2020,Pengemis,0
6/6/2020,Anak Jalanan,0
6/6/2020,Pekerja Seks Komersil ,0
6/6/2020,Waria,0
6/6/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
6/6/2020,Pengamen,0
6/6/2020,Pengedar Kotak Amal,0
6/6/2020,Anak Terlantar,0
6/6/2020,Lain - Lain,0
6/7/2020,Gelandangan,0
6/7/2020,Pemulung,0
6/7/2020,Pengemis,0
6/7/2020,Anak Jalanan,3
6/7/2020,Pekerja Seks Komersil ,0
6/7/2020,Waria,0
6/7/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
6/7/2020,Pengamen,0
6/7/2020,Pengedar Kotak Amal,0
6/7/2020,Anak Terlantar,0
6/7/2020,Lain - Lain,4
6/8/2020,Gelandangan,3
6/8/2020,Pemulung,7
6/8/2020,Pengemis,0
6/8/2020,Anak Jalanan,0
6/8/2020,Pekerja Seks Komersil ,0
6/8/2020,Waria,0
6/8/2020,Psykotik /Orang Dengan Masalah Kejiwaan,1
6/8/2020,Pengamen,1
6/8/2020,Pengedar Kotak Amal,0
