tanggal_operasi_pmks,jenis_pmks,jumlah_pmks
5/1/2020,Gelandangan,11
5/1/2020,Pemulung,11
5/1/2020,Pengemis,0
5/1/2020,Anak Jalanan,0
5/1/2020,Pekerja Seks Komersil ,0
5/1/2020,Waria,0
5/1/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
5/1/2020,Pengamen,1
5/1/2020,Pengedar Kotak Amal,0
5/1/2020,Anak Terlantar,0
5/1/2020,Lain - Lain,22
5/2/2020,Gelandangan,3
5/2/2020,Pemulung,7
5/2/2020,Pengemis,0
5/2/2020,Anak Jalanan,0
5/2/2020,Pekerja Seks Komersil ,0
5/2/2020,Waria,0
5/2/2020,Psykotik /Orang Dengan Masalah Kejiwaan,1
5/2/2020,Pengamen,0
5/2/2020,Pengedar Kotak Amal,0
5/2/2020,Anak Terlantar,0
5/2/2020,Lain - Lain,26
5/3/2020,Gelandangan,1
5/3/2020,Pemulung,7
5/3/2020,Pengemis,1
5/3/2020,Anak Jalanan,0
5/3/2020,Pekerja Seks Komersil ,0
5/3/2020,Waria,0
5/3/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
5/3/2020,Pengamen,0
5/3/2020,Pengedar Kotak Amal,0
5/3/2020,Anak Terlantar,0
5/3/2020,Lain - Lain,3
5/4/2020,Gelandangan,0
5/4/2020,Pemulung,2
5/4/2020,Pengemis,0
5/4/2020,Anak Jalanan,0
5/4/2020,Pekerja Seks Komersil ,0
5/4/2020,Waria,0
5/4/2020,Psykotik /Orang Dengan Masalah Kejiwaan,1
5/4/2020,Pengamen,1
5/4/2020,Pengedar Kotak Amal,0
5/4/2020,Anak Terlantar,0
5/4/2020,Lain - Lain,7
5/5/2020,Gelandangan,0
5/5/2020,Pemulung,1
5/5/2020,Pengemis,0
5/5/2020,Anak Jalanan,0
5/5/2020,Pekerja Seks Komersil ,0
5/5/2020,Waria,0
5/5/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
5/5/2020,Pengamen,0
5/5/2020,Pengedar Kotak Amal,0
5/5/2020,Anak Terlantar,0
5/5/2020,Lain - Lain,9
5/6/2020,Gelandangan,0
5/6/2020,Pemulung,14
5/6/2020,Pengemis,0
5/6/2020,Anak Jalanan,0
5/6/2020,Pekerja Seks Komersil ,0
5/6/2020,Waria,0
5/6/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
5/6/2020,Pengamen,6
5/6/2020,Pengedar Kotak Amal,0
5/6/2020,Anak Terlantar,0
5/6/2020,Lain - Lain,26
5/7/2020,Gelandangan,2
5/7/2020,Pemulung,0
5/7/2020,Pengemis,0
5/7/2020,Anak Jalanan,0
5/7/2020,Pekerja Seks Komersil ,0
5/7/2020,Waria,0
5/7/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
5/7/2020,Pengamen,2
5/7/2020,Pengedar Kotak Amal,0
5/7/2020,Anak Terlantar,0
5/7/2020,Lain - Lain,1
5/8/2020,Gelandangan,3
5/8/2020,Pemulung,6
5/8/2020,Pengemis,0
5/8/2020,Anak Jalanan,0
5/8/2020,Pekerja Seks Komersil ,0
5/8/2020,Waria,0
5/8/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
5/8/2020,Pengamen,4
5/8/2020,Pengedar Kotak Amal,0
5/8/2020,Anak Terlantar,0
5/8/2020,Lain - Lain,5
5/9/2020,Gelandangan,1
5/9/2020,Pemulung,3
5/9/2020,Pengemis,0
5/9/2020,Anak Jalanan,0
5/9/2020,Pekerja Seks Komersil ,1
5/9/2020,Waria,0
5/9/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
5/9/2020,Pengamen,0
5/9/2020,Pengedar Kotak Amal,0
5/9/2020,Anak Terlantar,0
5/9/2020,Lain - Lain,12
5/10/2020,Gelandangan,0
5/10/2020,Pemulung,1
5/10/2020,Pengemis,0
5/10/2020,Anak Jalanan,0
5/10/2020,Pekerja Seks Komersil ,0
5/10/2020,Waria,0
5/10/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
5/10/2020,Pengamen,0
5/10/2020,Pengedar Kotak Amal,0
5/10/2020,Anak Terlantar,0
5/10/2020,Lain - Lain,6
5/11/2020,Gelandangan,2
5/11/2020,Pemulung,4
5/11/2020,Pengemis,0
5/11/2020,Anak Jalanan,0
5/11/2020,Pekerja Seks Komersil ,0
5/11/2020,Waria,0
5/11/2020,Psykotik /Orang Dengan Masalah Kejiwaan,1
5/11/2020,Pengamen,1
5/11/2020,Pengedar Kotak Amal,0
5/11/2020,Anak Terlantar,0
5/11/2020,Lain - Lain,10
5/12/2020,Gelandangan,0
5/12/2020,Pemulung,5
5/12/2020,Pengemis,0
5/12/2020,Anak Jalanan,0
5/12/2020,Pekerja Seks Komersil ,0
5/12/2020,Waria,0
5/12/2020,Psykotik /Orang Dengan Masalah Kejiwaan,2
5/12/2020,Pengamen,0
5/12/2020,Pengedar Kotak Amal,0
5/12/2020,Anak Terlantar,0
5/12/2020,Lain - Lain,10
5/13/2020,Gelandangan,0
5/13/2020,Pemulung,4
5/13/2020,Pengemis,0
5/13/2020,Anak Jalanan,0
5/13/2020,Pekerja Seks Komersil ,0
5/13/2020,Waria,0
5/13/2020,Psykotik /Orang Dengan Masalah Kejiwaan,1
5/13/2020,Pengamen,0
5/13/2020,Pengedar Kotak Amal,0
5/13/2020,Anak Terlantar,0
5/13/2020,Lain - Lain,4
5/14/2020,Gelandangan,2
5/14/2020,Pemulung,9
5/14/2020,Pengemis,1
5/14/2020,Anak Jalanan,0
5/14/2020,Pekerja Seks Komersil ,0
5/14/2020,Waria,0
5/14/2020,Psykotik /Orang Dengan Masalah Kejiwaan,0
5/14/2020,Pengamen,0
